material,count,total_length_mm,avg_length_mm,unique_sizes
1/2 inch OSB,60,43656.2,727.6,16
1x12 lumber,5,11118.9,2223.8,3
1x2 lumber,29,35569.5,1226.5,16
1x3 lumber,15,11347.5,756.5,8
1x4 lumber,26,37623.8,1447.1,14
1x6 lumber,28,42294.2,1510.5,11
1x8 lumber,7,22367.9,3195.4,6
2x4 blocking,8,711.2,88.9,4
2x4 lumber,11,8458.2,768.9,8
2x4 plate,1,88.9,88.9,1
2x6 plate,36,52136.7,1448.2,25
2x8 joist,6,21945.6,3657.6,1
3/4 inch OSB,6,21945.6,3657.6,1
3/4 inch plywood,2,38.1,19.1,1
4x4 lumber,1,88.9,88.9,1
6x6 lumber,4,558.8,139.7,1
gutter,7,32727.9,4675.4,5
insulation,18,22021.8,1223.4,5
unknown,95,88639.7,933.0,58
