material,count,total_length_mm,avg_length_mm,unique_sizes
1x10 lumber,1,3600.4,3600.4,1
1x102 lumber,1,19.1,19.1,1
1x12 lumber,1,3708.4,3708.4,1
1x2 lumber,1,88.9,88.9,1
1x3 lumber,3,101.6,33.9,2
1x4 lumber,4,11226.8,2806.7,4
1x6 lumber,5,3905.2,781.0,5
1x8 lumber,1,3619.5,3619.5,1
2x10 lumber,1,3581.4,3581.4,1
2x12 lumber,5,3810.0,762.0,3
2x4 lumber,6,7391.4,1231.9,4
2x6 lumber,4,14630.4,3657.6,1
3/4 inch OSB,4,7315.2,1828.8,2
OSB sheathing,3,7327.9,2442.6,3
PV mounting rail,8,8153.4,1019.2,2
PV panel,2,3276.6,1638.3,1
gutter,4,14690.7,3672.7,4
insulation,1,3581.4,3581.4,1
metal flashing,1,3619.5,3619.5,1
unknown,44,47825.0,1086.9,17
